Tweet,Sentiment
ministro presenta segundo tramo reformas centro atención primaria …,neutral
ever wanted keep lights family gathers around run hospital afghanistan,neutral
consejería sanidad jcyl pretende eliminar direcciones hospital prim …,neutral
centro salud jaime vera horas espera yendo urgencias vergüenza sanidad pública,neutral
afecto dudo ministra salud eliminado lista espera …,neutral
ataque hospital militar kabul deja dos muertos heridos,neutral
military hospital attack least killed,negative
update causalities feared terrorists attack military hospital @,neutral
vez podríar darle uso real nintendo switch hospital dejé casa,neutral
aaaah amo esse posto saúde,positive
