text,user,created_at,lang,geo
"""#Gibraltar El Ministro de #Sanidad presenta segundo tramo de reformas en el Centro de Atenci\u00f3n Primaria\u2026 https://t.co/DSF9Tr6RFO""","{""created_at"": ""2013-03-22 18:18:21"", ""profile_background_image_url"": ""http://pbs.twimg.com/profile_background_images/459783804329029632/qbZi4hI-.jpeg"", ""geo_enabled"": true, ""protected"": false, ""time_zone"": ""Madrid"", ""profile_link_color"": ""0F0702"", ""profile_sidebar_fill_color"": ""C0DFEC"", ""is_translation_enabled"": false, ""profile_image_url_https"": ""https://pbs.twimg.com/profile_images/552387595527680000/eFJO8iHf_normal.png"", ""lang"": ""es"", ""statuses_count"": 41141, ""is_translator"": false, ""followers_count"": 3607, ""entities"": {""description"": {""urls"": []}, ""url"": {""urls"": [{""indices"": [0, 22], ""display_url"": ""infogibraltar.com"", ""expanded_url"": ""http://www.infogibraltar.com"", ""url"": ""http://t.co/6qgzcqsHKZ""}]}}, ""favourites_count"": 10418, ""utc_offset"": 3600, ""id_str"": ""1289201964"", ""profile_use_background_image"": true, ""profile_background_image_url_https"": ""https://pbs.twimg.com/profile_background_images/459783804329029632/qbZi4hI-.jpeg"", ""profile_sidebar_border_color"": ""000000"", ""default_profile_image"": false, ""description"": ""Servicio de Informaci\u00f3n del Gobierno de Gibraltar en Espa\u00f1a, \r\nHM Government of Gibraltar Information Service in Spain"", ""profile_banner_url"": ""https://pbs.twimg.com/profile_banners/1289201964/1470132361"", ""listed_count"": 164, ""has_extended_profile"": false, ""translator_type"": ""none"", ""id"": 1289201964, ""screen_name"": ""InfoGibraltar"", ""profile_background_color"": ""FFFFFF"", ""friends_count"": 407, ""contributors_enabled"": false, ""verified"": false, ""location"": ""Gibraltar"", ""profile_text_color"": ""333333"", ""default_profile"": false, ""profile_image_url"": ""http://pbs.twimg.com/profile_images/552387595527680000/eFJO8iHf_normal.png"", ""url"": ""http://t.co/6qgzcqsHKZ"", ""profile_background_tile"": false, ""name"": ""InfoGibraltar""}",2017-03-02 19:30:23,es,{'coordinates': {}}
"""Have u ever wanted to keep the lights on the family gathers around the PC to run a hospital in AFGHANISTAN?""","{""created_at"": ""2016-12-26 08:38:07"", ""profile_sidebar_fill_color"": ""DDEEF6"", ""geo_enabled"": false, ""protected"": false, ""time_zone"": ""Pacific Time (US & Canada)"", ""profile_link_color"": ""1DA1F2"", ""profile_image_url_https"": ""https://pbs.twimg.com/profile_images/813312453308076033/WzG5rpy4_normal.jpg"", ""is_translation_enabled"": false, ""lang"": ""en"", ""statuses_count"": 5582, ""is_translator"": false, ""followers_count"": 7, ""entities"": {""description"": {""urls"": []}, ""url"": {""urls"": {}}}, ""favourites_count"": 493, ""utc_offset"": -28800, ""id_str"": ""813287761994190848"", ""profile_use_background_image"": true, ""profile_sidebar_border_color"": ""C0DEED"", ""default_profile_image"": false, ""description"": """", ""listed_count"": 0, ""has_extended_profile"": false, ""translator_type"": ""none"", ""id"": 8.13287761994191e+17, ""screen_name"": ""rock_god_lol"", ""profile_background_color"": ""F5F8FA"", ""friends_count"": 16, ""contributors_enabled"": false, ""verified"": false, ""location"": """", ""profile_text_color"": ""333333"", ""default_profile"": true, ""profile_image_url"": ""http://pbs.twimg.com/profile_images/813312453308076033/WzG5rpy4_normal.jpg"", ""profile_background_tile"": false, ""name"": ""rockin N tha free \ud83c\udf0e""}",2017-03-08 12:01:42,en,{'coordinates': {}}
"""RT @clickidie: La Consejer\u00eda de Sanidad @Salud_JCYL pretende eliminar en #CyL las Direcciones de #Enfermer\u00eda tanto de Hospital como de Prim\u2026""","{""created_at"": ""2014-09-24 14:29:42"", ""profile_background_image_url"": ""http://abs.twimg.com/images/themes/theme1/bg.png"", ""geo_enabled"": false, ""protected"": false, ""profile_link_color"": ""1DA1F2"", ""profile_sidebar_fill_color"": ""DDEEF6"", ""is_translation_enabled"": false, ""profile_image_url_https"": ""https://pbs.twimg.com/profile_images/747407833512222721/N0Jduo-L_normal.jpg"", ""lang"": ""es"", ""statuses_count"": 70303, ""is_translator"": false, ""followers_count"": 2355, ""entities"": {""description"": {""urls"": [{""indices"": [112, 135], ""display_url"": ""4nurses.science"", ""expanded_url"": ""http://4nurses.science"", ""url"": ""https://t.co/6bvIUzyVfS""}]}, ""url"": {""urls"": {}}}, ""favourites_count"": 99652, ""id_str"": ""2782454134"", ""profile_use_background_image"": true, ""profile_background_image_url_https"": ""https://abs.twimg.com/images/themes/theme1/bg.png"", ""profile_sidebar_border_color"": ""C0DEED"", ""default_profile_image"": false, ""description"": ""Enfermero Especialista en Enfermer\u00eda Geri\u00e1trica y Enfermer\u00eda de Empresa. M\u00e1ster PRL.Futuro dietista. Escribo en https://t.co/6bvIUzyVfS .RT no implica apoyar."", ""profile_banner_url"": ""https://pbs.twimg.com/profile_banners/2782454134/1465145855"", ""listed_count"": 264, ""has_extended_profile"": false, ""translator_type"": ""none"", ""id"": 2782454134, ""screen_name"": ""MarvinHarris76"", ""profile_background_color"": ""C0DEED"", ""friends_count"": 2248, ""contributors_enabled"": false, ""verified"": false, ""location"": ""Vigo,Espa\u00f1a"", ""profile_text_color"": ""333333"", ""default_profile"": true, ""profile_image_url"": ""http://pbs.twimg.com/profile_images/747407833512222721/N0Jduo-L_normal.jpg"", ""profile_background_tile"": false, ""name"": ""CarlosEnfermero""}",2017-02-28 12:49:17,es,{'coordinates': {}}
"""Centro de salud Jaime Vera .....4 horas de espera yendo de urgencias!!!!!\nVerg\u00fcenza de sanidad p\u00fablica #GraciasPP""","{""created_at"": ""2015-05-31 03:32:18"", ""profile_background_image_url"": ""http://abs.twimg.com/images/themes/theme14/bg.gif"", ""geo_enabled"": false, ""protected"": false, ""time_zone"": ""Madrid"", ""profile_link_color"": ""E81C4F"", ""profile_sidebar_fill_color"": ""000000"", ""is_translation_enabled"": false, ""profile_image_url_https"": ""https://pbs.twimg.com/profile_images/823975683118559232/2l69DiVJ_normal.jpg"", ""lang"": ""es"", ""statuses_count"": 7945, ""is_translator"": false, ""followers_count"": 849, ""entities"": {""description"": {""urls"": []}, ""url"": {""urls"": {}}}, ""favourites_count"": 22653, ""utc_offset"": 3600, ""id_str"": ""3304252949"", ""profile_use_background_image"": false, ""profile_background_image_url_https"": ""https://abs.twimg.com/images/themes/theme14/bg.gif"", ""profile_sidebar_border_color"": ""000000"", ""default_profile_image"": false, ""description"": ""Hiciste de mis Versos un complejo vitam\u00ednico..."", ""profile_banner_url"": ""https://pbs.twimg.com/profile_banners/3304252949/1473869294"", ""listed_count"": 16, ""has_extended_profile"": false, ""translator_type"": ""none"", ""id"": 3304252949, ""screen_name"": ""LuisMi_IbaPe"", ""profile_background_color"": ""000000"", ""friends_count"": 948, ""contributors_enabled"": false, ""verified"": false, ""location"": ""Leyendo a Erich Fromm"", ""profile_text_color"": ""000000"", ""default_profile"": false, ""profile_image_url"": ""http://pbs.twimg.com/profile_images/823975683118559232/2l69DiVJ_normal.jpg"", ""profile_background_tile"": false, ""name"": ""Willow""}",2017-02-27 19:47:30,es,{'coordinates': {}}
"""@martinzilic afecto? Lo dudo, desde que @mbachelet fue ministra de salud est\u00e1n eliminado las lista de espera..es co\u2026 https://t.co/jfIOy4bL5W""","{""created_at"": ""2015-01-11 14:57:22"", ""profile_background_image_url"": ""http://abs.twimg.com/images/themes/theme1/bg.png"", ""geo_enabled"": true, ""protected"": false, ""profile_link_color"": ""1DA1F2"", ""profile_sidebar_fill_color"": ""DDEEF6"", ""is_translation_enabled"": false, ""profile_image_url_https"": ""https://pbs.twimg.com/profile_images/766077164487868417/5f06U4FO_normal.jpg"", ""lang"": ""es"", ""statuses_count"": 2905, ""is_translator"": false, ""followers_count"": 235, ""entities"": {""description"": {""urls"": []}, ""url"": {""urls"": {}}}, ""favourites_count"": 607, ""id_str"": ""2973082055"", ""profile_use_background_image"": true, ""profile_background_image_url_https"": ""https://abs.twimg.com/images/themes/theme1/bg.png"", ""profile_sidebar_border_color"": ""C0DEED"", ""default_profile_image"": false, ""description"": ""Soy donante"", ""profile_banner_url"": ""https://pbs.twimg.com/profile_banners/2973082055/1485624098"", ""listed_count"": 6, ""has_extended_profile"": false, ""translator_type"": ""none"", ""id"": 2973082055, ""screen_name"": ""cuervos3i"", ""profile_background_color"": ""C0DEED"", ""friends_count"": 571, ""contributors_enabled"": false, ""verified"": false, ""location"": """", ""profile_text_color"": ""333333"", ""default_profile"": true, ""profile_image_url"": ""http://pbs.twimg.com/profile_images/766077164487868417/5f06U4FO_normal.jpg"", ""profile_background_tile"": false, ""name"": ""Right in Two""}",2017-03-08 01:57:02,es,{'coordinates': {}}
"""Ataque a hospital militar de Kabul deja dos muertos y 12\u00a0heridos https://t.co/yo9poJjGzr https://t.co/bjcuVUOu4X""","{""created_at"": ""2017-01-03 15:08:23"", ""profile_background_image_url"": ""http://abs.twimg.com/images/themes/theme1/bg.png"", ""geo_enabled"": false, ""protected"": false, ""profile_link_color"": ""1B95E0"", ""profile_sidebar_fill_color"": ""000000"", ""is_translation_enabled"": false, ""profile_image_url_https"": ""https://pbs.twimg.com/profile_images/816285899260653569/NQJ2UxAL_normal.jpg"", ""lang"": ""es"", ""statuses_count"": 25705, ""is_translator"": false, ""followers_count"": 219, ""entities"": {""description"": {""urls"": []}, ""url"": {""urls"": [{""indices"": [0, 23], ""display_url"": ""quepasaenvenezuela.com"", ""expanded_url"": ""http://quepasaenvenezuela.com"", ""url"": ""https://t.co/63DvDz4oY4""}]}}, ""favourites_count"": 0, ""id_str"": ""816285077432844289"", ""profile_use_background_image"": false, ""profile_background_image_url_https"": ""https://abs.twimg.com/images/themes/theme1/bg.png"", ""profile_sidebar_border_color"": ""000000"", ""default_profile_image"": false, ""description"": ""Portal de noticias de Venezuela"", ""profile_banner_url"": ""https://pbs.twimg.com/profile_banners/816285077432844289/1483452782"", ""listed_count"": 2, ""has_extended_profile"": true, ""translator_type"": ""none"", ""id"": 8.16285077432844e+17, ""screen_name"": ""QPEV_"", ""profile_background_color"": ""000000"", ""friends_count"": 128, ""contributors_enabled"": false, ""verified"": false, ""location"": ""Caracas, Venezuela"", ""profile_text_color"": ""000000"", ""default_profile"": false, ""profile_image_url"": ""http://pbs.twimg.com/profile_images/816285899260653569/NQJ2UxAL_normal.jpg"", ""url"": ""https://t.co/63DvDz4oY4"", ""profile_background_tile"": false, ""name"": ""QuePasaenVenezuela""}",2017-03-08 12:01:43,es,{'coordinates': {}}
"""Military hospital attack: At least 2 killed https://t.co/X0QdV9OIHP""","{""created_at"": ""2014-01-12 08:12:01"", ""profile_background_image_url"": ""http://abs.twimg.com/images/themes/theme1/bg.png"", ""geo_enabled"": false, ""protected"": false, ""time_zone"": ""Pacific Time (US & Canada)"", ""profile_link_color"": ""1DA1F2"", ""profile_sidebar_fill_color"": ""DDEEF6"", ""is_translation_enabled"": false, ""profile_image_url_https"": ""https://pbs.twimg.com/profile_images/826760820986048513/9E_kzE8f_normal.jpg"", ""lang"": ""en"", ""statuses_count"": 28986, ""is_translator"": false, ""followers_count"": 669, ""entities"": {""description"": {""urls"": []}, ""url"": {""urls"": {}}}, ""favourites_count"": 0, ""utc_offset"": -28800, ""id_str"": ""2287768814"", ""profile_use_background_image"": true, ""profile_background_image_url_https"": ""https://abs.twimg.com/images/themes/theme1/bg.png"", ""profile_sidebar_border_color"": ""C0DEED"", ""default_profile_image"": false, ""description"": ""Best news, information, and resources about weight loss tips, body building program, diet and fitness."", ""profile_banner_url"": ""https://pbs.twimg.com/profile_banners/2287768814/1485950193"", ""listed_count"": 35, ""has_extended_profile"": false, ""translator_type"": ""none"", ""id"": 2287768814, ""screen_name"": ""PowerMuscleFit"", ""profile_background_color"": ""C0DEED"", ""friends_count"": 1078, ""contributors_enabled"": false, ""verified"": false, ""location"": ""Asia Pacific"", ""profile_text_color"": ""333333"", ""default_profile"": true, ""profile_image_url"": ""http://pbs.twimg.com/profile_images/826760820986048513/9E_kzE8f_normal.jpg"", ""profile_background_tile"": false, ""name"": ""World News Today""}",2017-03-08 12:01:42,en,{'coordinates': {}}
"""RT @LowlandsSN: UPDATE: causalities feared as terrorists attack military hospital in #Kabul @ https://t.co/JzJpkKymNd""","{""created_at"": ""2014-02-26 10:16:33"", ""profile_background_image_url"": ""http://abs.twimg.com/images/themes/theme1/bg.png"", ""geo_enabled"": false, ""protected"": false, ""time_zone"": ""Amsterdam"", ""profile_link_color"": ""1DA1F2"", ""profile_sidebar_fill_color"": ""DDEEF6"", ""is_translation_enabled"": false, ""profile_image_url_https"": ""https://pbs.twimg.com/profile_images/691585193589760001/EZRbti71_normal.png"", ""lang"": ""nl"", ""statuses_count"": 23743, ""is_translator"": false, ""followers_count"": 432, ""entities"": {""description"": {""urls"": []}, ""url"": {""urls"": {}}}, ""favourites_count"": 7889, ""utc_offset"": 3600, ""id_str"": ""2362413805"", ""profile_use_background_image"": true, ""profile_background_image_url_https"": ""https://abs.twimg.com/images/themes/theme1/bg.png"", ""profile_sidebar_border_color"": ""C0DEED"", ""default_profile_image"": false, ""description"": ""Oil & Gas Industry I Finance I Statistics I Cash Management I Event Planning"", ""profile_banner_url"": ""https://pbs.twimg.com/profile_banners/2362413805/1404419631"", ""listed_count"": 162, ""has_extended_profile"": false, ""translator_type"": ""none"", ""id"": 2362413805, ""screen_name"": ""ILYNC_80"", ""profile_background_color"": ""C0DEED"", ""friends_count"": 2091, ""contributors_enabled"": false, ""verified"": false, ""location"": """", ""profile_text_color"": ""333333"", ""default_profile"": true, ""profile_image_url"": ""http://pbs.twimg.com/profile_images/691585193589760001/EZRbti71_normal.png"", ""profile_background_tile"": false, ""name"": ""Sorcha Li\u00f9saidh""}",2017-03-08 12:01:40,en,{'coordinates': {}}
"""RT @mangelrogel: Para una vez que podr\u00edar darle un uso real a la nintendo switch en el hospital y me la dej\u00e9 en casa.""","{""created_at"": ""2015-04-05 01:06:52"", ""profile_background_image_url"": ""http://abs.twimg.com/images/themes/theme1/bg.png"", ""geo_enabled"": true, ""protected"": false, ""time_zone"": ""Pacific Time (US & Canada)"", ""profile_link_color"": ""F58EA8"", ""profile_sidebar_fill_color"": ""000000"", ""is_translation_enabled"": false, ""profile_image_url_https"": ""https://pbs.twimg.com/profile_images/825226263153479680/aOrMyv2X_normal.jpg"", ""lang"": ""es"", ""statuses_count"": 20161, ""is_translator"": false, ""followers_count"": 1366, ""entities"": {""description"": {""urls"": []}, ""url"": {""urls"": [{""indices"": [0, 23], ""display_url"": ""twitter.com/kevsho9/status\u2026"", ""expanded_url"": ""https://twitter.com/kevsho9/status/796148305642319872"", ""url"": ""https://t.co/RiolyzEh2A""}]}}, ""favourites_count"": 20664, ""utc_offset"": -28800, ""id_str"": ""3135382438"", ""profile_use_background_image"": false, ""profile_background_image_url_https"": ""https://abs.twimg.com/images/themes/theme1/bg.png"", ""profile_sidebar_border_color"": ""000000"", ""default_profile_image"": false, ""description"": ""~La Heterosexualidad De Ruben Es Como El Trasero De Ariana No Existe~\n \n                 [Stranger Things \u2661]\n \n        \n\n                  @doblasblack bae \u2661"", ""profile_banner_url"": ""https://pbs.twimg.com/profile_banners/3135382438/1484537208"", ""listed_count"": 8, ""has_extended_profile"": true, ""translator_type"": ""none"", ""id"": 3135382438, ""screen_name"": ""RubiusFtArianax"", ""profile_background_color"": ""000000"", ""friends_count"": 976, ""contributors_enabled"": false, ""verified"": false, ""location"": "" A 10.933,35km de Ruben "", ""profile_text_color"": ""000000"", ""default_profile"": false, ""profile_image_url"": ""http://pbs.twimg.com/profile_images/825226263153479680/aOrMyv2X_normal.jpg"", ""url"": ""https://t.co/RiolyzEh2A"", ""profile_background_tile"": false, ""name"": ""Sary \ud83c\udf38""}",2017-03-08 12:01:40,es,{'coordinates': {}}
"""Aaaaaah, como eu amo esse posto de sa\u00fade...\ud83d\ude12""","{""created_at"": ""2010-07-14 02:20:35"", ""profile_background_image_url"": ""http://abs.twimg.com/images/themes/theme1/bg.png"", ""geo_enabled"": false, ""protected"": false, ""time_zone"": ""Santiago"", ""profile_link_color"": ""AA00B3"", ""profile_sidebar_fill_color"": ""04141C"", ""is_translation_enabled"": false, ""profile_image_url_https"": ""https://pbs.twimg.com/profile_images/778940129897508864/iLPdJ2nE_normal.jpg"", ""lang"": ""pt"", ""statuses_count"": 1306, ""is_translator"": false, ""followers_count"": 156, ""entities"": {""description"": {""urls"": []}, ""url"": {""urls"": {}}}, ""favourites_count"": 707, ""utc_offset"": -10800, ""id_str"": ""166370846"", ""profile_use_background_image"": true, ""profile_background_image_url_https"": ""https://abs.twimg.com/images/themes/theme1/bg.png"", ""profile_sidebar_border_color"": ""A8B7BF"", ""default_profile_image"": false, ""description"": """", ""listed_count"": 0, ""has_extended_profile"": true, ""translator_type"": ""none"", ""id"": 166370846, ""screen_name"": ""MariMatthiesen"", ""profile_background_color"": ""0A0003"", ""friends_count"": 491, ""contributors_enabled"": false, ""verified"": false, ""location"": """", ""profile_text_color"": ""E612E6"", ""default_profile"": false, ""profile_image_url"": ""http://pbs.twimg.com/profile_images/778940129897508864/iLPdJ2nE_normal.jpg"", ""profile_background_tile"": false, ""name"": ""Matthiesen""}",2017-03-08 12:01:38,pt,{'coordinates': {}}
